stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\programming\Projekt_ALGO\Visual Studio\problem\x64\Debug\allegro5.cfg r
system   D            wsystem.c:834  maybe_parent_dir                 [   0.00000] Also searching D:\programming\Projekt_ALGO\Visual Studio\problem\x64\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:795  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:798  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.8
system   D            wsystem.c:834  maybe_parent_dir                 [   0.01202] Also searching D:\programming\Projekt_ALGO\Visual Studio\problem\x64\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.01252] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:795  load_library_at_path             [   0.01284] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:798  load_library_at_path             [   0.02731] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.17817] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.18201] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.18226] al_display=000001911DC3C670
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.18241] al_display->vt=000001911BD55800
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.22546] found 160 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.25109] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.26370] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.29015] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.29643] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.30041] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.31280] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.32060] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.32917] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.33069] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.33292] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.33458] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.33667] Score is : 897
